generation,avg_prey_survival,max_prey_survival,total_food,avg_predator_kills,max_predator_kills,total_kills,avg_prey_nodes,avg_prey_connections,avg_pred_nodes,avg_pred_connections,alive_prey_end,alive_pred_end
189,126.56,336,42,1.96,3,49,5.02,3.6,3.08,15.64,0,25
190,150.3,305,43,1.84,3,46,5.14,3.62,3.24,15.32,0,25
191,124.78,272,38,1.96,3,49,5.26,3.52,3.36,15.96,0,25
192,145.02,411,55,1.92,3,48,5.6,4.16,3.52,16.56,0,25
193,172.84,391,50,1.8,4,45,5.8,4.16,3.76,16.92,0,25
194,115.22,249,34,2.0,3,50,5.72,4.22,3.96,16.76,0,25
195,155.04,396,45,1.92,4,48,5.8,4.5,4.04,16.76,0,25
196,108.58,260,28,2.0,3,50,5.94,4.3,4.0,16.72,0,25
197,170.48,360,39,1.76,4,44,6.0,4.9,3.96,17.28,0,25
198,146.22,300,19,1.76,4,44,5.72,4.56,3.6,15.92,0,25
199,122.56,309,35,2.0,3,50,6.0,5.2,3.88,17.16,0,25
200,118.0,266,39,1.96,3,49,6.04,5.56,3.96,16.52,0,25
201,160.08,355,49,2.0,3,50,6.1,5.46,4.0,16.52,0,25
202,147.6,326,37,1.72,3,43,6.12,5.66,4.0,16.8,0,25
203,128.82,267,30,1.96,3,49,6.12,6.06,4.04,16.88,0,25
204,140.7,290,47,2.0,3,50,6.0,6.04,3.92,16.24,0,25
205,134.84,251,26,2.0,3,50,6.0,5.94,3.88,15.56,0,25
206,135.64,355,33,2.0,4,50,6.08,6.5,4.0,16.8,0,25
207,162.76,372,43,1.72,3,43,6.22,5.92,4.0,16.04,0,25
208,133.3,314,38,2.0,3,50,6.22,5.5,4.24,16.68,0,25
209,153.5,341,52,1.72,3,43,6.1,5.58,4.32,17.4,0,25
210,125.86,273,27,1.96,3,49,6.14,6.36,4.6,17.12,0,25
211,132.38,318,38,1.96,3,49,6.12,6.18,4.64,17.36,0,25
212,124.06,286,50,1.92,3,48,6.04,6.58,4.56,17.08,0,25
213,145.8,379,30,2.0,3,50,6.02,6.04,4.08,16.24,0,25
214,145.66,382,30,1.88,3,47,6.0,5.66,3.96,16.0,0,25
215,157.48,355,54,1.64,4,41,6.02,5.66,3.88,16.08,0,25
216,126.84,307,33,1.88,3,47,6.06,5.84,4.0,16.92,0,25
217,109.58,257,29,2.0,3,50,6.14,5.9,4.04,17.32,0,25
218,140.06,269,36,1.88,3,47,5.94,5.08,4.16,17.44,0,25
219,153.88,280,30,1.72,3,43,5.82,5.1,4.0,17.32,0,25
220,118.06,268,33,2.0,3,50,5.96,5.84,3.92,15.88,0,25
221,133.1,266,23,1.92,3,48,6.0,6.02,3.68,14.96,0,25
222,152.6,277,23,1.84,3,46,6.08,6.5,3.48,13.64,0,25
223,121.68,277,34,1.96,3,49,6.04,6.44,3.08,11.36,0,25
224,127.82,305,49,1.96,3,49,5.96,6.6,3.16,11.48,0,25
225,138.74,270,31,1.96,3,49,6.0,6.84,3.04,10.76,0,25
226,128.1,282,32,1.92,3,48,5.94,6.26,3.04,10.2,0,25
227,162.94,284,33,1.6,3,40,6.0,6.04,3.2,10.36,0,25
228,107.9,255,38,2.0,3,50,6.04,5.66,3.12,10.2,0,25
229,131.1,266,35,1.92,3,48,6.06,6.4,3.04,10.56,0,25
230,105.98,266,28,2.0,3,50,6.02,6.3,3.0,9.64,0,25
231,134.96,342,49,2.0,4,50,6.2,6.74,3.0,9.76,0,25
232,153.9,319,25,1.68,3,42,6.4,7.02,3.0,10.04,0,25
233,133.3,266,27,2.0,3,50,6.1,6.46,3.04,10.72,0,25
234,184.86,348,40,1.76,3,44,6.18,6.46,3.0,9.36,0,25
235,135.0,269,25,1.84,3,46,6.52,7.16,3.0,9.72,0,25
236,113.0,293,44,2.0,3,50,6.4,6.7,3.04,9.96,0,25
237,120.92,256,28,2.0,3,50,6.3,6.94,3.36,10.24,0,25
238,140.5,329,48,1.84,3,46,6.24,6.4,3.36,9.96,0,25
239,122.94,323,40,2.0,3,50,6.76,7.5,3.68,11.0,0,25
240,116.32,321,45,2.0,3,50,6.7,7.54,3.76,11.4,0,25
241,113.1,314,38,2.0,3,50,6.74,7.44,3.96,11.32,0,25
242,134.88,401,39,1.8,3,45,6.62,7.02,3.96,11.16,0,25
243,145.72,306,39,1.84,3,46,6.46,7.16,4.0,11.28,0,25
244,152.82,342,75,1.92,3,48,5.98,6.98,4.04,11.72,0,25
245,130.16,285,37,2.0,3,50,6.1,7.28,3.96,11.32,0,25
246,114.02,214,27,2.0,3,50,6.06,7.3,3.96,10.96,0,25
247,153.86,349,50,1.96,3,49,5.98,7.4,4.0,10.92,0,25
248,118.28,307,32,1.92,3,48,5.88,7.78,4.0,11.2,0,25
249,144.3,341,39,1.96,3,49,5.5,7.16,4.04,10.88,0,25
250,149.36,398,67,2.0,4,50,5.3,6.2,3.96,10.92,0,25
251,138.9,305,51,1.96,4,49,5.46,6.2,4.0,10.52,0,25
252,114.36,323,43,2.0,3,50,5.46,5.94,4.0,10.6,0,25
253,143.38,378,61,1.84,3,46,5.44,5.54,4.0,10.68,0,25
254,128.76,268,30,1.96,3,49,5.12,4.92,4.04,10.32,0,25
255,138.46,384,32,2.0,3,50,4.88,4.36,4.28,11.64,0,25
256,141.1,303,36,1.84,3,46,4.7,3.98,4.6,11.96,0,25
257,141.18,385,32,1.92,3,48,4.68,4.26,4.56,11.16,0,25
258,121.82,302,34,1.92,3,48,4.44,3.66,4.56,11.8,0,25
259,135.0,289,38,1.88,3,47,4.24,3.16,4.44,10.56,0,25
260,157.0,374,40,1.76,3,44,4.0,2.68,4.12,9.96,0,25
261,137.42,297,37,1.92,3,48,3.96,2.46,4.08,9.68,0,25
262,117.48,239,36,2.0,3,50,3.9,2.4,4.04,9.92,0,25
263,150.42,335,37,1.96,3,49,4.0,2.62,4.0,9.64,0,25
264,155.8,285,36,1.76,3,44,4.04,2.96,3.88,9.28,0,25
265,125.8,278,37,1.96,3,49,4.02,2.58,3.8,9.32,0,25
266,151.1,299,47,1.96,3,49,4.02,2.52,4.04,9.96,0,25
267,114.58,313,52,2.0,3,50,3.9,2.4,4.28,10.88,0,25
268,144.62,290,33,1.8,4,45,3.92,2.44,4.48,11.24,0,25
269,131.82,284,40,1.96,3,49,3.88,2.54,4.68,11.68,0,25
270,129.48,331,39,1.96,3,49,3.62,2.42,4.0,10.16,0,25
271,136.96,328,35,1.92,3,48,3.66,2.52,4.0,10.2,0,25
272,132.8,362,45,1.96,3,49,3.8,2.72,3.88,10.36,0,25
273,132.9,266,34,1.92,3,48,3.86,3.18,4.0,10.44,0,25
274,138.54,390,50,1.88,3,47,3.98,3.3,4.0,10.16,0,25
